Name,Lat,Long,Temp,Humidity,Cloudiness,Windspeed,Country,Datetime
Muros,42.7762,-9.0603,53.01,91,100,3.24,ES,1618808814
Micomeseng,2.1462,10.6164,69.98,99,100,1.59,GQ,1618808583
Durant,33.994,-96.3708,51.01,93,1,1.52,US,1618808814
Jumla,29.2747,82.1838,64.85,16,0,6.08,NP,1618808435
Avera,33.194,-82.5271,60.8,77,1,4.61,US,1618808791
Mata,40.683,-7.4592,52.0,81,100,2.84,PT,1618808558
Chui,-33.6971,-53.4616,61.72,78,38,6.96,UY,1618808381
Sitka,57.0531,-135.33,62.6,29,1,13.8,US,1618808368
Kodinsk,58.6881,99.1844,37.72,70,73,13.65,RU,1618808591
Bustamante,26.5333,-100.5,59.94,46,7,3.8,MX,1618808816
Lüderitz,-26.6481,15.1594,72.88,48,7,4.92,NA,1618808413
Bontang,0.1333,117.5,85.12,64,100,6.04,ID,1618808817
Visby,57.6409,18.296,42.01,81,0,10.36,SE,1618808600
Shitanjing,39.2342,106.3439,63.45,11,100,5.44,CN,1618808539
Marsh Harbour,26.5412,-77.0636,76.95,82,67,14.5,BS,1618808817
Narsaq,60.9167,-46.05,28.4,34,90,10.36,GL,1618808345
Port Elizabeth,-33.918,25.5701,66.2,82,75,31.07,ZA,1618808329
Lagoa,39.05,-27.9833,60.57,84,95,10.65,PT,1618808330
Vostok,46.4856,135.8833,46.35,56,98,12.64,RU,1618808818
Alekseyevsk,57.8406,108.3492,36.57,59,10,10.49,RU,1618808818
Anadyr,64.75,177.4833,24.8,80,40,4.47,RU,1618808488
George Town,5.4112,100.3354,87.8,70,40,9.22,MY,1618808329
Haines Junction,60.7522,-137.5108,48.2,34,11,3.44,CA,1618808551
Norman Wells,65.282,-126.8329,42.8,52,1,9.22,CA,1618808359
Wewak,-3.5534,143.6268,84.81,70,60,7.2,PG,1618808308
Canora,51.6333,-102.4343,23.0,68,20,5.75,CA,1618808820
Praia da Vitória,38.7333,-27.0667,60.01,88,20,4.61,PT,1618808609
Scarborough,54.2797,-0.4044,34.0,92,9,1.88,GB,1618808613
Kavieng,-2.5744,150.7967,84.72,70,96,9.13,PG,1618808352
Alice Springs,-23.7,133.8833,73.99,15,0,8.05,AU,1618808110
Beringovskiy,63.05,179.3167,32.77,95,86,2.3,RU,1618808415
Yulara,-25.2406,130.9889,73.4,20,0,9.22,AU,1618808375
Kloulklubed,7.0419,134.2556,77.0,88,90,8.05,PW,1618808822
Shumskiy,54.8318,99.1328,52.86,49,96,7.76,RU,1618808822
Dordrecht,51.81,4.6736,44.01,91,8,1.99,NL,1618808822
Henties Bay,-22.116,14.2845,81.0,47,17,5.01,NA,1618808645
Xingyi,24.1877,102.817,73.31,38,16,14.23,CN,1618808823
Novska,45.3406,16.9769,44.6,87,90,4.61,HR,1618808823
Sinnamary,5.3833,-52.95,76.17,86,64,8.32,GF,1618808420
Montepuez,-13.1256,38.9997,64.69,87,62,9.17,MZ,1618808824
Tuktoyaktuk,69.4541,-133.0374,33.8,75,1,11.5,CA,1618808338
Tommot,58.9564,126.2925,23.34,70,100,11.21,RU,1618808412
Unecha,52.8459,32.6739,41.77,87,23,9.8,RU,1618808824
Soure,-0.7167,-48.5233,75.58,87,100,1.72,BR,1618808825
Sisimiut,66.9395,-53.6735,16.88,68,100,16.73,GL,1618808320
Tiksi,71.6872,128.8694,12.85,80,94,10.04,RU,1618808325
Mutuípe,-13.2286,-39.5047,71.47,96,89,0.58,BR,1618808826
Ixtapa,20.7,-105.2,73.4,78,1,2.55,MX,1618808345
Sangar,63.9242,127.4739,22.57,70,100,9.91,RU,1618808826
Guarapari,-20.6667,-40.4975,75.2,83,0,3.44,BR,1618808826
Mitsamiouli,-11.3847,43.2844,80.98,77,6,9.75,KM,1618808581
Bac Lieu,9.285,105.7244,87.8,59,75,9.69,VN,1618808753
Antsohihy,-14.8796,47.9875,77.77,74,25,11.25,MG,1618808827
Kars,40.602,43.095,50.0,66,40,4.61,TR,1618808827
Barrow,71.2906,-156.7887,26.6,74,1,9.22,US,1618808327
Lorengau,-2.0226,147.2712,84.4,69,98,9.46,PG,1618808386
Mount Isa,-20.7333,139.5,89.6,22,5,12.66,AU,1618808358
Krasnoarmiys'k,48.282,37.1758,49.6,68,95,4.21,UA,1618808828
Arjawinangun,-6.6453,108.4103,88.56,57,16,4.27,ID,1618808828
Beyneu,45.3167,55.2,68.13,40,66,17.76,KZ,1618808828
São Gabriel da Cachoeira,-0.1303,-67.0892,70.99,99,100,0.85,BR,1618808828
‘Āhuimanu,21.4447,-157.8378,75.2,69,20,9.22,US,1618808590
Grindavik,63.8424,-22.4338,32.0,93,75,3.44,IS,1618808369
Saldanha,-33.0117,17.9442,64.4,82,59,8.05,ZA,1618808366
Aktau,43.65,51.2,60.8,72,0,4.47,KZ,1618808807
Dauriya,49.9333,116.8667,43.07,9,3,9.91,RU,1618808830
Gijón,43.5357,-5.6615,53.01,84,100,3.15,ES,1618808830
Souillac,-20.5167,57.5167,78.8,89,75,10.36,MU,1618808619
Pevek,69.7008,170.3133,28.24,73,69,17.18,RU,1618808267
Mkushi,-13.6202,29.3939,55.35,94,73,3.67,ZM,1618808831
Yerbogachën,61.2767,108.0108,32.88,51,98,11.77,RU,1618808409
Waitara,-38.925,174.25,57.0,70,97,1.99,NZ,1618808462
Hamilton,39.1834,-84.5333,50.0,81,75,2.08,US,1618808433
Kul'dur,49.2167,131.6333,55.89,42,3,13.13,RU,1618808832
Turaif,31.6725,38.6637,66.2,37,0,6.91,SA,1618808832
Butaritari,3.0707,172.7902,83.43,76,40,11.32,KI,1618808310
Longyearbyen,78.2186,15.6401,35.6,87,75,9.22,SJ,1618808406
Hokitika,-42.7167,170.9667,59.54,73,10,5.26,NZ,1618808833
Dabola,10.75,-11.1167,79.05,60,90,3.62,GN,1618808833
La Ronge,55.1001,-105.2842,30.2,47,95,5.75,CA,1618808526
Balkanabat,39.5108,54.3671,73.54,27,100,6.06,TM,1618808809
Tilichiki,60.4667,166.1,30.9,99,91,4.83,RU,1618808393
Muncie,40.1934,-85.3864,48.2,53,1,3.44,US,1618808834
Guerrero Negro,27.9769,-114.0611,60.19,88,0,10.51,MX,1618808415
Allanridge,-27.7543,26.6438,56.08,51,0,2.75,ZA,1618808835
Coronel Vivida,-25.9797,-52.5678,57.33,89,9,3.78,BR,1618808835
Chokurdakh,70.6333,147.9167,13.82,88,29,9.6,RU,1618808334
Rome,43.2128,-75.4557,43.0,81,1,0.85,US,1618808364
Picton,-34.1833,150.6,75.0,36,10,1.01,AU,1618808835
Lerwick,60.1545,-1.1494,44.6,81,98,12.66,GB,1618808836
Klaksvík,62.2266,-6.589,41.0,87,100,2.3,FO,1618808342
Key West,24.5557,-81.7826,80.6,83,90,11.5,US,1618808836
Geraldton,-28.7667,114.6,75.2,46,15,17.27,AU,1618808347
Kumul,42.8,93.45,71.15,16,81,11.95,CN,1618808554
Vila Franca do Campo,37.7167,-25.4333,59.0,88,20,5.75,PT,1618808584
Leningradskiy,69.3833,178.4167,29.66,75,63,15.86,RU,1618808352
Gemeente Hoorn,52.6431,5.0578,45.0,93,10,1.01,NL,1618808617
Mareeba,-17.0,145.4333,75.2,94,75,8.05,AU,1618808837
Khatanga,71.9667,102.5,6.21,86,95,8.41,RU,1618808308
Indian Head,38.6001,-77.1622,52.0,87,90,3.98,US,1618808838
Faanui,-16.4833,-151.75,82.9,69,0,13.33,PF,1618808352
Nome,64.5011,-165.4064,37.0,80,90,3.44,US,1618808312
Cayenne,4.9333,-52.3333,80.01,100,100,8.43,GF,1618808327
Goderich,43.7501,-81.7165,35.6,87,7,3.44,CA,1618808358
Kutum,14.2,24.6667,73.9,8,73,4.56,SD,1618808416
Iqaluit,63.7506,-68.5145,14.0,73,75,2.3,CA,1618808354
Port Alberni,49.2413,-124.8028,60.01,54,18,3.76,CA,1618808839
Prince Rupert,54.3161,-130.3201,62.6,20,1,11.5,CA,1618808839
San Cristobal,7.7669,-72.225,67.24,79,95,2.28,VE,1618808391
Teya,60.3778,92.6267,17.4,92,100,10.02,RU,1618808551
Tessalit,20.1986,1.0114,74.98,14,0,9.69,ML,1618808501
Upernavik,72.7868,-56.1549,-0.87,87,99,5.1,GL,1618808319
Kota Belud,6.351,116.4305,87.8,66,20,9.22,MY,1618808840
Torbay,47.6666,-52.7314,36.0,100,90,2.3,CA,1618808367
Am Timan,11.0297,20.2827,81.82,24,98,6.67,TD,1618808838
Baruun-Urt,46.6806,113.2792,50.43,13,2,7.65,MN,1618808841
Havre-St-Pierre,50.2334,-63.5986,41.0,70,90,4.61,CA,1618808328
Aranos,-24.1333,19.1167,61.47,50,92,9.28,NA,1618808351
Alofi,-19.0595,-169.9187,80.6,65,20,11.5,NU,1618808531
Qaanaaq,77.484,-69.3632,2.01,75,100,5.12,GL,1618808323
Barra dos Coqueiros,-10.9089,-37.0386,75.2,88,20,4.61,BR,1618808805
Touros,-5.1989,-35.4608,75.2,94,75,5.75,BR,1618808394
St. George's,12.0564,-61.7485,78.62,72,61,16.4,GD,1618808584
Maryborough,-25.5333,152.7,78.01,53,0,5.01,AU,1618808843
São Filipe,14.8961,-24.4956,72.61,75,63,9.35,CV,1618808364
Hirara,24.8,125.2833,75.2,60,40,18.41,JP,1618808459
Ullapool,57.8987,-5.1604,46.99,48,100,4.72,GB,1618808843
Vila,42.0304,-8.1588,50.0,86,100,3.27,PT,1618808346
Port Hedland,-20.3167,118.5667,87.8,25,0,12.66,AU,1618808844
Cidreira,-30.1811,-50.2056,71.51,62,44,9.4,BR,1618808324
Kenora,49.8167,-94.4337,26.6,63,90,8.05,CA,1618808344
Gouré,13.9835,10.2704,76.71,10,96,3.67,NE,1618808844
Kirakira,-10.4544,161.9205,84.74,72,100,5.7,SB,1618808431
Naryan-Mar,67.6713,53.087,25.99,81,100,16.13,RU,1618808845
Zelenoborskiy,66.845,32.3622,34.0,100,52,3.74,RU,1618808845
Praia,14.9215,-23.5087,68.0,83,20,8.05,CV,1618808411
Tosno,59.54,30.8775,43.0,61,0,6.71,RU,1618808846
Alta Floresta,-9.8756,-56.0861,70.43,97,100,1.54,BR,1618808514
Kidal,18.4411,1.4078,80.71,14,48,11.65,ML,1618808338
Takaka,-40.85,172.8,62.01,76,99,5.01,NZ,1618808575
San Patricio,28.017,-97.5169,61.0,94,75,3.44,US,1618808350
Lavrentiya,65.5833,-171.0,29.82,88,85,5.84,RU,1618808569
Zhezkazgan,47.8043,67.7144,54.37,64,97,9.89,KZ,1618808329
Tarko-Sale,64.9225,77.785,1.99,65,61,4.0,RU,1618808816
Omsukchan,62.5333,155.8,31.17,91,24,7.54,RU,1618808848
Nemuro,43.3236,145.575,53.6,47,75,8.05,JP,1618808818
Yar-Sale,66.8333,70.8333,8.42,92,88,8.79,RU,1618808415
Oussouye,12.485,-16.5469,71.55,75,48,4.65,SN,1618808397
Salalah,17.0151,54.0924,82.4,69,40,3.44,OM,1618808323
Norrtälje,59.758,18.705,43.0,80,0,5.75,SE,1618808824
Laibin,23.7,109.2667,66.49,96,98,2.39,CN,1618808588
Londoko,49.0333,131.9833,60.69,31,4,13.33,RU,1618808849
Brownsville,25.9018,-97.4975,61.0,63,75,5.75,US,1618808504
Cockburn Town,21.4612,-71.1419,78.28,88,32,18.57,TC,1618808812
Taoudenni,22.6783,-3.9836,75.81,13,2,14.25,ML,1618808626
Rawson,-43.3002,-65.1023,66.63,43,74,14.23,AR,1618808348
Te Anau,-45.4167,167.7167,54.63,80,88,7.58,NZ,1618808466
Otjimbingwe,-22.35,16.1333,66.0,62,46,7.07,NA,1618808851
Kahului,20.8947,-156.47,78.8,65,40,17.27,US,1618808543
Gushikawa,26.3544,127.8686,75.2,50,20,16.11,JP,1618808627
Laguna,38.421,-121.4238,69.8,42,1,4.61,US,1618808582
San José de Río Tinto,14.9333,-85.7,80.6,78,75,2.3,HN,1618808852
Takoradze,4.8845,-1.7554,77.05,86,100,7.31,GH,1618808320
Crossville,35.949,-85.0269,52.0,76,90,10.36,US,1618808853
Washington,47.5001,-120.5015,68.0,22,1,17.27,US,1618808778
Tsabong,-26.0217,22.401,63.27,42,4,7.38,BW,1618808853
Shubarshi,48.5872,57.1869,54.23,82,100,6.8,KZ,1618808627
Saint Anthony,45.0205,-93.218,41.0,70,40,9.22,US,1618808371
Yangi Marg`ilon,40.4272,71.7189,60.8,55,67,4.61,UZ,1618808337
Burns Lake,54.2331,-125.7533,44.6,33,1,2.3,CA,1618808854
Egvekinot,66.3167,-179.1667,27.12,93,100,6.89,RU,1618808616
Bandarbeyla,9.4942,50.8122,83.89,71,17,9.75,SO,1618808394
Jessheim,60.1415,11.1752,46.0,86,0,4.61,NO,1618808855
Hobyo,5.3505,48.5268,84.54,67,15,7.18,SO,1618808382
Calama,-22.4667,-68.9333,42.8,42,0,16.11,CL,1618808844
Concepción del Oro,24.6333,-101.4167,51.62,51,24,6.26,MX,1618808855
Kingisepp,59.3733,28.6134,44.64,73,15,6.87,RU,1618808855
Abu Samrah,35.3029,37.1841,78.57,26,100,8.55,SY,1618808856
Nyurba,63.2842,118.3319,21.45,70,100,6.38,RU,1618808856
Tromsø,69.6496,18.957,41.0,65,20,17.27,NO,1618808856
Nanortalik,60.1432,-45.2371,30.33,52,62,5.53,GL,1618808387
Palmer,42.1584,-72.3287,46.0,93,90,1.07,US,1618808563
Adrar,20.5022,-10.0711,73.63,11,21,7.0,MR,1618808385
Östersund,63.1792,14.6357,33.8,75,0,0.76,SE,1618808847
Novopokrovka,49.8425,36.5477,42.8,100,75,6.71,UA,1618808858
Tazovsky,67.4667,78.7,1.78,91,48,11.36,RU,1618808858
Oodweyne,9.4092,45.064,74.61,58,95,8.55,SO,1618808858
Vanimo,-2.6741,141.3028,80.31,80,82,1.61,PG,1618808859
Umluj,25.0213,37.2685,86.97,39,0,4.68,SA,1618808411
Coquimbo,-29.9533,-71.3436,57.2,88,90,4.61,CL,1618808311
Houma,29.5958,-90.7195,62.01,82,75,4.61,US,1618808355
Timrå,62.487,17.3257,30.2,86,0,5.75,SE,1618808860
Sola,-13.8833,167.55,83.23,73,43,9.06,VU,1618808344
Ust-Kuyga,70.0167,135.6,18.77,73,35,3.38,RU,1618808860
Aklavik,68.2191,-135.0107,48.2,49,68,4.61,CA,1618808338
Marawi,7.9986,124.2928,88.0,64,100,8.99,PH,1618808756
Esperance,-33.8667,121.9,73.4,49,47,14.97,AU,1618808427
Vardø,70.3705,31.1107,33.8,64,0,8.05,NO,1618808356
Port Blair,11.6667,92.75,87.8,74,75,3.44,IN,1618808358
West Plains,36.7281,-91.8524,41.0,87,1,4.61,US,1618808861
Tual,-5.6667,132.75,80.92,70,100,1.86,ID,1618808585
Ancud,-41.8697,-73.8203,57.2,100,90,13.8,CL,1618808332
Ostrovnoy,68.0531,39.5131,32.92,83,100,19.26,RU,1618808342
Strängnäs,59.3774,17.0312,41.0,75,7,4.61,SE,1618808862
Upata,8.0086,-62.3989,75.99,85,71,7.14,VE,1618808862
Srednekolymsk,67.45,153.6833,29.86,73,25,7.4,RU,1618808397
Kununurra,-15.7667,128.7333,89.6,27,8,5.75,AU,1618808366
Okha,53.5739,142.9478,30.94,98,100,22.41,RU,1618808356
Chippewa Falls,44.9369,-91.3929,42.8,75,90,9.22,US,1618808864
Anito,12.4497,125.2886,74.66,94,100,25.97,PH,1618808864
Westport,41.1415,-73.3579,48.2,81,1,5.03,US,1618808822
Stephenville,32.2207,-98.2023,54.0,71,1,3.6,US,1618808865
Kangasala,61.4638,24.076,39.0,75,0,1.14,FI,1618808822
Tanabe,33.7333,135.3667,62.6,45,0,18.41,JP,1618808817
Portland,45.5234,-122.6762,69.8,24,20,8.05,US,1618808345
Aswān,24.0934,32.907,84.96,29,2,7.72,EG,1618808354
Smirnykh,49.75,142.8333,39.92,92,96,9.46,RU,1618808378
Talnakh,69.4865,88.3972,3.78,85,53,5.5,RU,1618808345
Arman',59.7,150.1667,37.26,90,100,7.43,RU,1618808389
Brownwood,31.7093,-98.9912,44.6,93,1,6.22,US,1618808361
Bad Aussee,47.61,13.7824,37.99,98,100,2.51,AT,1618808867
Nouadhibou,20.931,-17.0347,63.79,89,0,19.26,MR,1618808409
Cherskiy,68.75,161.3,22.39,81,58,10.92,RU,1618808311
Tawao,4.2498,117.8871,89.6,62,20,9.22,MY,1618808808
Ust-Maya,60.4167,134.5333,38.77,84,100,8.63,RU,1618808868
Manta,-0.95,-80.7333,77.0,83,75,3.44,EC,1618808868
Eyl,7.9803,49.8164,84.65,68,6,11.36,SO,1618808606
Belmonte,-15.8631,-38.8828,73.4,88,20,4.61,BR,1618808617
Yashan,22.1975,109.9419,75.15,89,99,10.96,CN,1618808565
Severo-Kuril'sk,50.6789,156.125,35.71,97,100,29.93,RU,1618808336
Pacific Grove,36.6177,-121.9166,53.6,76,1,3.44,US,1618808405
Ambikāpur,23.1167,83.2,95.9,11,0,10.07,IN,1618808869
Tiarei,-17.5333,-149.3333,82.4,74,20,4.61,PF,1618808870
Kokstad,-30.5472,29.4241,54.25,40,0,5.55,ZA,1618808870
Celestún,20.8667,-90.4,78.04,85,0,4.76,MX,1618808870
Mossamedes,-15.1961,12.1522,81.1,66,12,5.28,AO,1618808385
Viloco,-16.95,-67.55,42.98,86,36,3.6,BO,1618808870
Tarauacá,-8.1614,-70.7656,71.87,98,99,1.79,BR,1618808817
Neryungri,56.6709,124.6491,19.02,77,100,16.35,RU,1618808742
Talara,-4.5772,-81.2719,69.42,84,97,7.16,PE,1618808339
Bethel,41.3712,-73.414,48.0,76,20,4.61,US,1618808310
Coahuayana Viejo,18.7333,-103.6833,66.61,77,0,3.2,MX,1618808511
Listvyagi,53.6772,86.951,28.33,59,100,14.79,RU,1618808872
Thinadhoo,0.5333,72.9333,82.87,63,54,6.85,MV,1618808387
North Bend,43.4065,-124.2243,46.99,93,90,1.61,US,1618808416
Mikhaylovka,50.06,43.2379,50.0,84,100,2.24,RU,1618808873
Ilulissat,69.2167,-51.1,12.2,57,75,20.71,GL,1618808357
Buala,-8.145,159.5921,84.36,72,88,4.36,SB,1618808439
Santa Isabel Rio Negro,-0.4139,-65.0192,72.21,99,100,1.92,BR,1618808873
Acaraú,-2.8856,-40.12,76.55,89,100,7.87,BR,1618808440
Norsup,-16.0667,167.3833,83.52,73,73,5.64,VU,1618808874
Flin Flon,54.7682,-101.865,23.05,67,15,4.23,CA,1618808874
Alibag,18.6411,72.8792,89.6,66,40,5.75,IN,1618808874
Kuril'sk,45.2333,147.8833,34.86,95,98,14.27,RU,1618808875
Price,39.5994,-110.8107,48.2,29,1,9.22,US,1618808875
Fairbanks,64.8378,-147.7164,55.4,30,1,3.49,US,1618808378
Oktyabr'skoye,43.0645,44.7417,53.6,87,75,6.71,RU,1618808439
Parrita,9.5201,-84.3225,68.0,100,40,3.44,CR,1618808875
Atherton,53.5237,-2.4935,42.01,71,31,1.01,GB,1618808554
Mokhsogollokh,61.4681,128.9203,22.41,77,100,8.32,RU,1618808566
Trelew,-43.249,-65.3051,67.96,37,89,13.87,AR,1618808592
Empangeni,-28.762,31.8933,59.07,77,0,6.31,ZA,1618808876
Rusape,-18.5278,32.1284,50.13,90,56,1.9,ZW,1618808840
Wukari,7.85,9.7833,79.48,69,100,7.14,NG,1618808832
Carnarvon,-24.8667,113.6333,79.59,52,0,18.16,AU,1618808303
Verkh-Usugli,52.7,115.1667,37.0,14,92,5.28,RU,1618808877
Palu,-0.8917,119.8707,89.06,53,100,3.69,ID,1618808877
Beisfjord,68.3751,17.5988,37.4,70,0,9.22,NO,1618808423
Kavaratti,10.5669,72.642,83.84,69,15,4.56,IN,1618808328
Provideniya,64.3833,-173.3,32.0,69,0,4.47,RU,1618808332
Dudinka,69.4058,86.1778,2.35,90,50,11.39,RU,1618808344
Bayan,46.0833,127.4,68.02,19,0,14.58,CN,1618808658
Oga,46.4631,10.347,39.0,80,90,5.75,IT,1618808878
Autazes,-3.5797,-59.1306,71.51,99,100,1.14,BR,1618808879
Morgan City,29.6994,-91.2068,62.6,77,1,5.75,US,1618808166
Shimoda,34.6667,138.95,64.4,45,20,5.75,JP,1618808419
Mufulira,-12.5498,28.2407,54.16,91,100,3.89,ZM,1618808879
Mwanza,-2.5167,32.9,68.0,83,75,13.8,TZ,1618808833
Binga,-17.6203,27.3414,64.18,78,42,1.88,ZW,1618808539
Tupik,54.4253,119.9327,29.32,42,50,9.33,RU,1618808880
Banda Aceh,5.5577,95.3222,86.67,63,86,14.25,ID,1618808657
Koygorodok,60.445,50.9968,34.45,45,1,4.7,RU,1618808880
Half Moon Bay,37.4636,-122.4286,57.0,71,1,3.44,US,1618808333
